,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[4],0.6307841719500119,0.07482375589516298,0.5195199500707972,0.758463567319101,7849.650760320851,6171.719008106395,0.9999852226857927,0.0008436242534158757,0.0008029935276319111
bhmm::e_mu_obs[5],0.6613969890436459,0.07897128230570105,0.5440486349486396,0.7961624286721791,7854.43565444519,6232.4964842474865,0.9999846111134053,0.0008901791350822953,0.0008501439761908701
bhmm::e_mu_obs[6],0.6933100833082967,0.08331172620512463,0.5697872218327897,0.8356591215739644,7860.14970229374,6163.77909079619,0.9999856737245615,0.0009388970743867187,0.0008995893637536246
bhmm::e_mu_obs[7],0.726559325594457,0.08784958273374607,0.5960335084849211,0.8768332940470219,7863.567786449633,6159.193934960401,0.9999853692520599,0.0009898285834103657,0.0009513748966227477
bhmm::e_mu_obs[8],0.7611794722067052,0.09258890460154451,0.6237709584777393,0.919657077904279,7867.129042336894,6159.193934960401,0.9999853578297255,0.0010430192262210706,0.001005538365520105
bhmm::e_mu_obs[9],0.7972038782746019,0.0975332232720288,0.652321219076299,0.9642155915905156,7872.400645660198,6183.731089550452,0.999984904751742,0.0010985087399090826,0.0010621089619755602
bhmm::e_mu_obs[10],0.8346641859697441,0.10268546350497296,0.6819674923212816,1.0101481521778521,7876.926747719868,6158.789103377376,0.9999848616226741,0.0011563300728744893,0.0011211060475143672
bhmm::e_mu_obs[11],0.8735899911557574,0.10804785340602689,0.7125967238465792,1.058242961929021,7881.001133915726,6039.660601518384,0.9999841291840803,0.0012165083823880366,0.001182537813549859
bhmm::e_mu_obs[12],0.9140084790970099,0.11362182727425937,0.744920575596277,1.1082932684734406,7883.617496656772,5982.407230542496,0.9999839629974061,0.001279059954083202,0.0012463999099294766
bhmm::e_mu_obs[13],0.9559440381852337,0.1194079255851139,0.7787716089830468,1.1604530060422658,7886.080699898939,5998.180462640709,0.9999848472442225,0.0013439910816781828,0.0013126740430058784
bhmm::e_mu_obs[14],0.9994178474371574,0.125405688880523,0.8137394589210035,1.2141954291772639,7887.455010549025,5986.422922039436,0.9999839144703119,0.001411296885262747,0.001381326467430597
bhmm::e_mu_obs[15],1.0444474380602078,0.13161354945902645,0.849702740287725,1.2704093123392637,7889.207843845654,5964.007069613422,0.9999821163629059,0.0014809601094340876,0.0014523065007746513
bhmm::e_mu_obs[16],1.0910462338774927,0.13802871773024059,0.8868202615833208,1.32743769634617,7890.94939536522,6002.500710151751,0.9999814649332893,0.0015529498581542285,0.0015255450762770913
bhmm::e_mu_obs[17],1.1392230661385097,0.14464706973572822,0.9249144051512537,1.3878089980934472,7892.241056923604,6031.619656257048,0.999981399343848,0.0016272203510860122,0.00160095328489463
bhmm::e_mu_obs[18],1.18898167237289,0.1514630354284083,0.9645928744829738,1.4495364236270458,7893.9729212908915,6031.619656257048,0.9999818822109254,0.0017037096863298728,0.0016784208883215718
bhmm::e_mu_obs[19],1.2403201776169483,0.15846948378774026,1.0054656716841452,1.5131064129346865,7897.310945154608,6031.203581569061,0.9999806210122776,0.0017861475207499636,0.001757815033513786
bhmm::e_mu_obs[20],1.2932305592855755,0.16565761270775956,1.0477903517615372,1.5784194932939262,7897.809771594232,6043.052358225083,0.9999805173572932,0.0018670555153843017,0.0018389790947389972
